iteration,energy
195,-822237690384726323450095643521974272.000000
196,-822237690384726323450095643521974272.000000
197,-822237690384726323450095643521974272.000000
198,-822237690384726323450095643521974272.000000
199,-822237690384726323450095643521974272.000000
200,-822237690384726323450095643521974272.000000
201,-822237690384726323450095643521974272.000000
202,-822237690384726323450095643521974272.000000
203,-822237690384726323450095643521974272.000000
204,-822237690384726323450095643521974272.000000
205,-822237690384726323450095643521974272.000000
206,-822237690384726323450095643521974272.000000
207,-822237690384726323450095643521974272.000000
208,-822237690384726323450095643521974272.000000
209,-822237690384726323450095643521974272.000000
210,-822237690384726323450095643521974272.000000
211,-822237690384726323450095643521974272.000000
212,-822237690384726323450095643521974272.000000
213,-822237690384726323450095643521974272.000000
214,-822237690384726323450095643521974272.000000
215,-822237690384726323450095643521974272.000000
216,-822237690384726323450095643521974272.000000
217,-822237690384726323450095643521974272.000000
218,-822237690384726323450095643521974272.000000
219,-822237690384726323450095643521974272.000000
220,-822237690384726323450095643521974272.000000
221,-822237690384726323450095643521974272.000000
222,-822237690384726323450095643521974272.000000
223,-822237690384726323450095643521974272.000000
224,-822237690384726323450095643521974272.000000
225,-822237690384726323450095643521974272.000000
226,-822237690384726323450095643521974272.000000
227,-822237690384726323450095643521974272.000000
228,-822237690384726323450095643521974272.000000
229,-822237690384726323450095643521974272.000000
230,-822237690384726323450095643521974272.000000
231,-822237690384726323450095643521974272.000000
232,-822237690384726323450095643521974272.000000
233,-822237690384726323450095643521974272.000000
234,-822237690384726323450095643521974272.000000
235,-822237690384726323450095643521974272.000000
236,-822237690384726323450095643521974272.000000
237,-822237690384726323450095643521974272.000000
238,-822237690384726323450095643521974272.000000
239,-822237690384726323450095643521974272.000000
240,-822237690384726323450095643521974272.000000
241,-822237690384726323450095643521974272.000000
242,-822237690384726323450095643521974272.000000
243,-822237690384726323450095643521974272.000000
244,-822237690384726323450095643521974272.000000
245,-822237690384726323450095643521974272.000000
246,-822237690384726323450095643521974272.000000
247,-822237690384726323450095643521974272.000000
248,-822237690384726323450095643521974272.000000
249,-822237690384726323450095643521974272.000000
250,-822237690384726323450095643521974272.000000
251,-822237690384726323450095643521974272.000000
252,-822237690384726323450095643521974272.000000
